Chapter,Stage,Level,GridWidth,GridHeight,RockQty,ResourceQty,FogGrowSpeed
Solar,Mars,0,3,3,0,1,0.0003
Solar,Mars,1,3,3,3,2,0.0003
Solar,Mars,2,5,5,4,3,0.0003
Solar,Mars,3,5,5,5,4,0.0003
Solar,Mars,4,5,5,6,5,0.0003
Solar,Mars,5,6,6,8,5,0.0006
Solar,Mars,6,7,7,11,5,0.0007
Solar,Mars,7,8,8,15,5,0.0008
Solar,Mars,8,9,9,19,5,0.0009
Solar,Mars,9,10,10,24,5,0.001
Solar,Jupiter,10,11,11,30,5,0.0011
Solar,Jupiter,11,11,12,32,5,0.0012
Solar,Jupiter,12,11,13,35,5,0.0013
Solar,Jupiter,13,11,14,37,5,0.0016
Solar,Jupiter,14,11,15,40,5,0.0019
Solar,Jupiter,15,11,16,43,5,0.0022
Solar,Jupiter,16,11,17,45,5,0.0025
Solar,Jupiter,17,11,17,45,5,0.0028
Solar,Jupiter,18,11,17,50,5,0.003
Solar,Jupiter,19,12,17,65,5,0.0035
Solar,Mercury,20,12,17,65,5,0.0035
Solar,Mercury,21,12,17,65,5,0.0035
Solar,Mercury,22,12,17,65,5,0.0035
Solar,Mercury,23,12,17,65,5,0.0035
Solar,Mercury,24,12,17,65,5,0.0035
Solar,Mercury,25,12,17,65,5,0.0035
Solar,Mercury,26,12,17,65,5,0.0035
Solar,Mercury,27,12,17,65,5,0.0035
Solar,Mercury,28,12,17,65,5,0.0035
Solar,Mercury,29,12,17,65,5,0.0035
Solar,Venus,30,12,17,65,5,0.0035
Solar,Venus,31,12,17,65,5,0.0035
Solar,Venus,32,12,17,65,5,0.0035
Solar,Venus,33,12,17,65,5,0.0035
Solar,Venus,34,12,17,65,5,0.0035
Solar,Venus,35,12,17,65,5,0.0035
Solar,Venus,36,12,17,65,5,0.0035
Solar,Venus,37,12,17,65,5,0.0035
Solar,Venus,38,12,17,65,5,0.0035
Solar,Venus,39,12,17,65,5,0.0035
Solar,Saturn,40,12,17,65,5,0.0035
Solar,Saturn,41,12,17,65,5,0.0035
Solar,Saturn,42,12,17,65,5,0.0035
Solar,Saturn,43,12,17,65,5,0.0035
Solar,Saturn,44,12,17,65,5,0.0035
Solar,Saturn,45,12,17,65,5,0.0035
Solar,Saturn,46,12,17,65,5,0.0035
Solar,Saturn,47,12,17,65,5,0.0035
Solar,Saturn,48,12,17,65,5,0.0035
Solar,Saturn,49,12,17,65,5,0.0035
Solar,Uranus,50,12,17,65,5,0.0035
Solar,Uranus,51,12,17,65,5,0.0035
Solar,Uranus,52,12,17,65,5,0.0035
Solar,Uranus,53,12,17,65,5,0.0035
Solar,Uranus,54,12,17,65,5,0.0035
Solar,Uranus,55,12,17,65,5,0.0035
Solar,Uranus,56,12,17,65,5,0.0035
Solar,Uranus,57,12,17,65,5,0.0035
Solar,Uranus,58,12,17,65,5,0.0035
Solar,Uranus,59,12,17,65,5,0.0035
Solar,Neptune,60,12,17,65,5,0.0035
Solar,Neptune,61,12,17,65,5,0.0035
Solar,Neptune,62,12,17,65,5,0.0035
Solar,Neptune,63,12,17,65,5,0.0035
Solar,Neptune,64,12,17,65,5,0.0035
Solar,Neptune,65,12,17,65,5,0.0035
Solar,Neptune,66,12,17,65,5,0.0035
Solar,Neptune,67,12,17,65,5,0.0035
Solar,Neptune,68,12,17,65,5,0.0035
Solar,Neptune,69,12,17,65,5,0.0035
Solar,Pluto,70,12,17,65,5,0.0035
Solar,Pluto,71,12,17,65,5,0.0035
Solar,Pluto,72,12,17,65,5,0.0035
Solar,Pluto,73,12,17,65,5,0.0035
Solar,Pluto,74,12,17,65,5,0.0035
Solar,Pluto,75,12,17,65,5,0.0035
Solar,Pluto,76,12,17,65,5,0.0035
Solar,Pluto,77,12,17,65,5,0.0035
Solar,Pluto,78,12,17,65,5,0.0035
Solar,Pluto,79,12,17,65,5,0.0035
